project,desc,assigned to,reported by,category,priority
SJE Plus,New Report as per mail,Krupa,Krupa,Report,high
SJE Plus,tag price in report issue,drashti,reception,Report,high
SJE Plus,multi ledger contact number issue,kapil,reception,Support,high
SJE Plus,metal entry save error,gaurav,reception,Support,high
Smart Jewel,new report making ,drashti,reception,Report,high
SJE Plus,item receive fix loss issue,gaurav,reception,Support,high
SJE Plus,bag finalize issue and wip issue,gaurav,reception,Support,high
Smart Jewel,alloy total gold issue,ketan,reception,Support,high
SJE Plus,order problem,Denish,reception,Support,high
SJE Plus,"Bag Status report, Design by colmun needed",ketan,reception,New Req,high
SJE Plus,Material Casting In Production Report Employee Not Getting,dhaval,reception,Support,high
SJE Plus, As Per Mail Extracharge developin gissue,Denish,sarika,bug,V.Urgent
SJE Plus,as per mail error,Denish,reception,bug,high
Smart Jewel,balance sheet issue,ketan,reception,Support,high
SJE Plus,sales report  format issue,Krupa,reception,Report,high
SJE Plus,Reliance order sheet report print from gati software ,drashti,sarika,Report,high
SJE Plus,sales bill remark issue in print,Jagruti,reception,Report,high
Smart Jewel,SERVER installation,yogita,reception,Support,high
SJE Plus,mounting report format make,Heta,reception,Report,high
SJE Plus,user loss break up issue,shubham,reception,Support,high
SJE Plus,ask about mounting purchase entry,krishna,reception,Support,high
SJE Plus,in report image issue,Jagruti,reception,Report,high
SJE Plus,jewel code create issue and igi no issue,krishna,reception,Support,V.Urgent
Smart Jewel,setting rate update  issue ,sarika,reception,Support,high
SJE Plus,purchase entry not save issue,vipul,reception,Support,V.Urgent
SJE Plus,labor issue,Sajeda,reception,Support,high
SJE Plus,server installation,Sajeda,reception,Support,V.Urgent
SJE Plus,3 by 2 lances cap report making,drashti,reception,Report,high
Smart Jewel,installation ,yogita,reception,Support,V.Urgent
SJE Plus,New Report as per mail,Krupa,Krupa,Report,high
SJE Plus,igi format and invoice Wight issue,drashti,reception,Report,high
Smart Jewel,new year generate,yogita,reception,Support,high
SJE Plus,Aayan Jewels Direct Call,drashti,drashti,Report,V.Urgent
SJE Plus,style master search issue,krishna,reception,Support,high
SJE Plus,Extra charges add,drashti,drashti,Report,V.Urgent
Smart Jewel,Direct Call,drashti,drashti,Report,high
SJE Plus,style master import error,ashit,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,high
SJE Plus,stone rate changes,sarika,reception,Support,high
SJE Plus,certificate format changes in print,Heta,reception,Report,high
SJE Plus,category and sub category add,yogita,reception,Support,high
SJE Plus,tcs add,Heta,reception,Report,high
SJE Plus,software close,yogita,reception,Support,high
