project,desc,category,priority,assign to
SJE Plus,New Report as per mail,Report,Low,Krupa
SJE Plus,tag price in report issue,Report,Low,drashti
SJE Plus,metal entry save error,Support,high,gaurav
Smart Jewel,new report making ,Report,Low,drashti
SJE Plus,item receive fix loss issue,Support,high,gaurav
SJE Plus,bag finalize issue and wip issue,Support,high,gaurav
SJE Plus, As Per Mail Extracharge developin gissue,bug,V.Urgent,sarika
SJE Plus,sales report  format issue,Report,Low,Krupa
SJE Plus,Reliance order sheet report print from gati software ,Report,Low,sarika
SJE Plus,sales bill remark issue in print,Report,Low,Jagruti
Smart Jewel,SERVER installation,Support,high,yogita
SJE Plus,mounting report format make,Report,Low,Heta
SJE Plus,user loss break up issue,Support,high,shubham
SJE Plus,ask about mounting purchase entry,Support,high,krishna
SJE Plus,in report image issue,Report,Low,Jagruti
SJE Plus,jewel code create issue and igi no issue,Support,V.Urgent,krishna
Smart Jewel,setting rate update  issue ,Support,high,sarika
SJE Plus,purchase entry not save issue,Support,V.Urgent,vipul
SJE Plus,labor issue,Support,high,Sajeda
SJE Plus,server installation,Support,V.Urgent,Sajeda
SJE Plus,3 by 2 lances cap report making,Report,Low,drashti
Smart Jewel,installation ,Support,V.Urgent,yogita
SJE Plus,New Report as per mail,Report,Low,Krupa
SJE Plus,igi format and invoice Wight issue,Report,Low,drashti
Smart Jewel,new year generate,Support,high,yogita
SJE Plus,Aayan Jewels Direct Call,Report,Low,drashti
SJE Plus,style master search issue,Support,high,krishna
SJE Plus,Extra charges add,Report,Low,drashti
Smart Jewel,Direct Call,Report,Low,drashti
SJE Plus,style master import error,Support,high,ashit
SJE Plus,node installation,Support,high,yogita
SJE Plus,stone rate changes,Support,high,sarika
SJE Plus,certificate format changes in print,Report,Low,Heta
SJE Plus,category and sub category add,Support,high,yogita
SJE Plus,tcs add,Report,Low,Heta
SJE Plus,software close,Support,high,yogita
SJE Plus,software update ,Support,V.Urgent,yogita
SJE Plus,invoice format issue,Report,Low,drashti
SJE Plus,hsn code issue,Support,high,krishna
SJE Plus,software close,Support,V.Urgent,krishna
SJE Plus,software close,Support,V.Urgent,jaytur
SJE Plus,software close,Support,high,yogita
SJE Plus,Demo Server Installtion,Support,V.Urgent,yogita
Smart Jewel,software slow,Support,high,Sajeda
SJE Plus,order report issue and jewelry sales handling print issue,Report,Low,yogita
SJE Plus,log in issue,Support,V.Urgent,yogita
Smart Jewel,jewellry stock as on issue,Support,high,Sajeda
SJE Plus,software close,Support,V.Urgent,vipul
SJE Plus,remove Labor Column from packing with size report and wants gross wt in 3 digit.,Report,Low,Jagruti
SJE Plus,jewelry purchase return gst issue,Report,Med,Heta
SJE Plus,color stone entry issue,Support,high,Sajeda
SJE Plus,making charge add issue,Support,high,yogita
SJE Plus,branch receive issue,Support,V.Urgent,sarika
SJE Plus,purchase issue,Support,high,Sajeda
SJE Plus,path set issue,Support,high,krishna
SJE Plus,tcs tax add,Report,Low,drashti
SJE Plus,branch transfer issue,Support,high,yogita
Smart Jewel,account 0 balance issue,Support,high,krishna
Smart Jewel,cash settlement issue,Support,V.Urgent,shubham
SJE Plus,diamond purchase retune issue,Support,high,sarika
SJE Plus,Bag movement new report create ,Report,Low,drashti
SJE Plus,software error,Support,V.Urgent,yogita
SJE Plus,stock valuation weight issue,Support,high,Sajeda
